ts_id,date,value,info,pass,bardate,open_date,open,diff,relrtrn,d_days,RatioToPrev,RatioToPPrev
CAD=,1999-07-26,1.51,Top,1,1999-07-26,1999-07-26,1.5,0.01,0.66,0,,
CAD=,1999-09-28,1.46,Bottom,1,1999-08-23,1999-07-26,1.51,-0.05,-3.32,64,,
CAD=,1999-10-18,1.6,Top,1,1999-09-28,1999-09-28,1.46,0.14,9.58,20,,
CAD=,2000-01-27,1.43,Bottom,1,2000-01-27,1999-10-18,1.6,-0.17,-10.63,101,-1.22,3.4
CAD=,2002-02-26,1.61,Top,1,2002-01-31,2000-01-27,1.43,0.18,12.58,761,-1.06,1.28
CAD=,2002-07-09,1.51,Bottom,1,2002-07-09,2002-02-26,1.61,-0.1,-6.22,133,-0.56,0.58
CAD=,2002-10-08,1.6,Top,1,2002-08-27,2002-07-09,1.51,0.09,5.96,91,-0.9,0.5
CAD=,2004-01-09,1.27,Bottom,1,2004-01-09,2002-10-08,1.6,-0.33,-20.63,458,-3.67,3.29
CAD=,2004-05-17,1.4,Top,1,2004-03-29,2004-01-09,1.27,0.13,10.23,129,-0.4,1.44
CAD=,2004-11-24,1.18,Bottom,1,2004-11-24,2004-05-17,1.4,-0.22,-15.72,191,-1.7,0.66
CAD=,2005-05-16,1.27,Top,1,2005-03-16,2004-11-24,1.18,0.09,7.62,173,-0.41,0.69
CAD=,2005-10-20,1.12,Bottom,1,2005-10-20,2005-05-16,1.27,-0.15,-11.82,157,-1.67,0.68
CAD=,2005-10-24,1.19,Top,1,2005-10-24,2005-10-20,1.12,0.07,6.24,4,-0.47,0.77
CAD=,2006-05-30,1.1,Bottom,1,2006-05-30,2005-10-24,1.19,-0.09,-7.57,218,-1.29,0.59
CAD=,2007-02-02,1.19,Top,1,2007-02-02,2006-05-30,1.1,0.09,8.18,248,-1,1.28
CAD=,2007-11-06,0.92,Bottom,1,2007-11-06,2007-02-02,1.19,-0.27,-22.69,277,-3.01,3
CAD=,2008-11-21,1.29,Top,1,2008-11-21,2007-11-06,0.92,0.37,40.21,381,-1.38,4.11
CAD=,2009-01-06,1.18,Bottom,1,2009-01-06,2008-11-21,1.29,-0.11,-8.53,46,-0.3,0.4
CAD=,2009-03-09,1.3,Top,1,2009-02-09,2009-01-06,1.18,0.12,10.16,62,-1.1,0.32
CAD=,2009-10-14,1.03,Bottom,1,2009-10-14,2009-03-09,1.3,-0.27,-20.77,219,-2.25,2.45
CAD=,2009-11-02,1.08,Top,1,2009-11-02,2009-10-14,1.03,0.05,4.85,19,-0.19,0.41
CAD=,2010-04-20,1,Bottom,1,2010-04-20,2009-11-02,1.08,-0.08,-7.41,169,-1.6,0.29
CAD=,2010-08-31,1.07,Top,1,2010-08-02,2010-04-20,1,0.07,7,133,-0.88,1.4
CAD=,2011-07-26,0.94,Bottom,1,2011-06-24,2010-08-31,1.07,-0.13,-12.15,329,-1.86,1.62
CAD=,2011-11-23,1.05,Top,1,2011-11-23,2011-07-26,0.94,0.11,11.7,120,-0.85,1.57
CAD=,2012-09-12,0.97,Bottom,1,2012-09-12,2011-11-23,1.05,-0.08,-7.62,294,-0.73,0.61
CAD=,2013-09-03,1.06,Top,1,2013-08-12,2012-09-12,0.97,0.09,9.27,356,-1.13,0.81
CAD=,2013-09-19,1.02,Bottom,1,2013-09-03,2013-09-03,1.06,-0.04,-3.78,16,-0.45,0.5
CAD=,2014-03-20,1.12,Top,1,2014-03-06,2013-09-19,1.02,0.1,9.8,182,-2.5,1.11
CAD=,2014-07-10,1.06,Bottom,1,2014-03-20,2014-03-20,1.12,-0.06,-5.36,112,-0.6,1.5
